Especies,Conteo,Localidad,Tipo de Observacion,Fecha de la Observacion,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA (Km),AREA CUBIERTA,ELEVACION:,Numero de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles,Detalles,Coordenadas
Blue-winged Teal (Spatula discors),29,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Andean Teal (Anas andium),2,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Band-tailed Pigeon (Patagioenas fasciata),6,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Eared Dove (Zenaida auriculata),8,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Sparkling Violetear (Colibri coruscans),6,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Spot-flanked Gallinule (Porphyriops melanops),1,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Common Gallinule (Gallinula galeata),6,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
American Coot (Fulica americana),5,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Southern Lapwing (Vanellus chilensis),4,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Spotted Sandpiper (Actitis macularius),2,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Solitary Sandpiper (Tringa solitaria),1,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Neotropic Cormorant (Nannopterum brasilianum),1,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Black-crowned Night Heron (Nycticorax nycticorax),1,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Western Cattle Egret (Bubulcus ibis),4,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Bare-faced Ibis (Phimosus infuscatus),6,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
Black Vulture (Coragyps atratus),8,hato grande,Con Desplazamiento,2023-12-06,7:27:00 a. m.,"2 hora(s), 7 minuto(s)",1.5,,,2,TRUE,35 especies,,,
